scenario_id,agent_id,object_type,horizon_s,cv_ade,cv_fde,kf_ade,kf_fde,kf_uncertainty_final
140117c81b4ef9fb,3045,pedestrian,1.0,0.13221555594993437,0.25746958158998723,0.15547451129740722,0.2489003647249348,1.8697543616545909
140117c81b4ef9fb,3046,pedestrian,1.0,0.08021608260858669,0.14285913753418444,0.2529810132224642,0.4201849652082917,1.8697543616545909
140117c81b4ef9fb,3052,pedestrian,1.0,0.0824419576715931,0.16661118895391216,0.18913086191179218,0.32153809959761687,1.8697543616545909
140117c81b4ef9fb,3055,pedestrian,1.0,0.024432373446214344,0.06580726988274932,0.1397528970707171,0.22314534158580496,1.8698860209031154
140117c81b4ef9fb,4621,cyclist,1.0,0.011841785201010141,0.01961974362206414,0.017025910936825,0.026047025029774278,1.8697543616545909
140117c81b4ef9fb,4622,cyclist,1.0,0.05119046956479885,0.11625732983995059,0.2669973691518344,0.3940096443713115,1.8697543616545909
140117c81b4ef9fb,4623,cyclist,1.0,0.08897396194888149,0.12247572683212209,0.5307716553891074,0.897551753986951,1.8697543616545909
16a8cd972084277a,4992,pedestrian,1.0,0.4133807524130667,0.905619392883017,0.5756494146609611,1.138852964402897,1.8697543616545909
17a010edfe6d47b3,127,pedestrian,1.0,0.14048887036940907,0.27347669255865037,0.1572229636464292,0.27471731403075306,1.8697543616545909
1870b2208fe4ade9,64,pedestrian,1.0,0.1053027314020265,0.1934274832329836,0.1064113098525036,0.17760192891973642,1.8697543616545909
1870b2208fe4ade9,65,pedestrian,1.0,0.033803511612055095,0.06152829790751686,0.031845409985282964,0.056417829746824986,1.8697543616545909
1870b2208fe4ade9,66,pedestrian,1.0,0.07280949235058642,0.06851174592414154,0.11810067465471771,0.13314921927769172,1.8697543616545909
1870b2208fe4ade9,71,pedestrian,1.0,0.23356019848922976,0.49197054840118964,0.33659966596125296,0.6116235337834581,1.8697543616545909
1870b2208fe4ade9,82,pedestrian,1.0,0.1351640046498276,0.25670424510081463,0.16726378569896172,0.3030332773316815,1.8697104722235813
1870b2208fe4ade9,83,pedestrian,1.0,0.10259688875923922,0.18945785738277718,0.23728012329218648,0.39607825034455796,1.8697104722235816
1870b2208fe4ade9,87,pedestrian,1.0,0.030827338314283786,0.05740086799515137,0.08797125914995998,0.1520653125182301,1.8698421359932162
1870b2208fe4ade9,89,pedestrian,1.0,0.06163061185563259,0.14771131904887827,0.11536542599418824,0.21236923466001326,1.8698860209031154
1870b2208fe4ade9,91,pedestrian,1.0,0.12832740975339185,0.2697022127579536,0.14171262741471458,0.2607526702857661,1.8697543616545909
1870b2208fe4ade9,92,pedestrian,1.0,0.08344847614856746,0.12393902425859639,0.22921189749356233,0.3507636113641425,1.8697543616545909
1870b2208fe4ade9,94,pedestrian,1.0,0.1870058024127234,0.3946679761889178,0.20140728407594777,0.38974060133953625,1.8697543616545909
1870b2208fe4ade9,100,pedestrian,1.0,0.03220175067745397,0.07140210704864064,0.04056103587900886,0.06041524500260759,1.8697104722235829
1870b2208fe4ade9,102,pedestrian,1.0,0.09339801956856972,0.22720246329965121,0.13093044528505948,0.19913654255228339,1.8697543616545909
1870b2208fe4ade9,103,pedestrian,1.0,0.27339372644397286,0.3828765026968563,0.2065339961284785,0.30287826796056083,1.8697543616545909
1870b2208fe4ade9,108,pedestrian,1.0,0.16593020164450015,0.3026968017444911,0.12675799382130093,0.24472588629693412,1.8697543616545909
1870b2208fe4ade9,109,pedestrian,1.0,0.055327197655143934,0.12018546999840636,0.04937675030255576,0.11494636080018439,1.8697543616545909
1870b2208fe4ade9,115,pedestrian,1.0,0.21941958078030016,0.43014861581353275,0.1719970424435889,0.3414096112394955,1.8698860209031154
1870b2208fe4ade9,141,cyclist,1.0,0.5304973955551049,1.044014229549711,0.7449462585604452,1.3583281596469756,1.8697543616545909
1870b2208fe4ade9,142,cyclist,1.0,0.11045623545108471,0.15504426592984374,0.7460771637848034,1.1580629948304417,1.8697543616545909
1e41e4f90a5cae0a,424,pedestrian,1.0,0.03234925578062817,0.06723414352585864,0.1905209945851027,0.30215361871484764,1.8698860209031167
1e41e4f90a5cae0a,426,pedestrian,1.0,0.06105817333250355,0.11981728422122533,0.17731476486303993,0.3050283697718074,1.8698860209031167
1e41e4f90a5cae0a,427,pedestrian,1.0,0.02470502633402759,0.03553398259277954,0.14039616360361018,0.2184865262539206,1.8698860209031167
1e41e4f90a5cae0a,428,pedestrian,1.0,0.03243910237385043,0.06748757836802949,0.1366439091141979,0.2340541180663258,1.8698860209031167
1e41e4f90a5cae0a,437,pedestrian,1.0,0.16776502668608834,0.2992964747267479,0.9729226951100411,1.5460386662077854,1.8699299043082631
1e41e4f90a5cae0a,448,pedestrian,1.0,0.022753270667656176,0.027898809468852842,0.1304527438471115,0.2142005462437635,1.8698860209031196
1e41e4f90a5cae0a,468,pedestrian,1.0,0.09599830625740997,0.15005632915169298,0.19177390995433438,0.264468749380425,1.8698860209031154
1e41e4f90a5cae0a,471,pedestrian,1.0,0.022882575630075848,0.03553298401747044,0.1264273448107319,0.19484269837431342,1.8697543616545909
1e41e4f90a5cae0a,472,pedestrian,1.0,0.046387673967545714,0.08983947050599482,0.14175956843886856,0.2366013671334466,1.8697543616545909
1e41e4f90a5cae0a,566,cyclist,1.0,0.3392194765561317,0.46335437939145846,0.24460397174302956,0.3588710131288029,1.8695348993948928
27384099b57a800b,5490,pedestrian,1.0,0.04522336644329416,0.056643571560411984,0.11651288821443637,0.19074692624685838,1.869754361654591
27384099b57a800b,5491,pedestrian,1.0,0.037893413179737344,0.06042228510664986,0.053126325278083364,0.07336447417356541,1.869754361654591
27384099b57a800b,5492,pedestrian,1.0,0.618181751835785,1.167769807199786,0.44355791494822094,0.7672931683367294,1.869754361654591
27384099b57a800b,5493,pedestrian,1.0,0.09131857476753032,0.11899743716837999,0.09731683154100394,0.17416480909237403,1.869754361654591
2d84b1ab55ab81d3,1529,pedestrian,1.0,0.015973198876456325,0.02846020851767979,0.016445363231959526,0.02718508910345587,1.8698860209031165
2d84b1ab55ab81d3,1531,pedestrian,1.0,0.0210147132557425,0.04275569945007923,0.13216602930214544,0.20232331815568547,1.8698860209031165
2d84b1ab55ab81d3,1551,pedestrian,1.0,0.6352071970582154,1.1445142964345825,0.5621860318633233,0.924570274919863,1.8698860209031165
2d84b1ab55ab81d3,1621,cyclist,1.0,0.523634041279261,1.068257444693559,0.731599215403231,1.3893063710596203,1.8698860209031165
2db20518212cdfeb,5560,pedestrian,1.0,0.23854509872819735,0.5377724956051908,0.3238590018793217,0.6125204046447605,1.8698860209031163
31d18fac4011375c,3593,pedestrian,1.0,0.14563094826961948,0.30303184728532295,0.1380712120366748,0.29919985678986366,1.8697543616545909
31d18fac4011375c,3600,pedestrian,1.0,0.021556165471187595,0.03833178284944262,0.03450560198431376,0.05767185809390923,1.8697543616545909
31d18fac4011375c,3601,pedestrian,1.0,0.017782169058732047,0.01772172439403537,0.1022848023540405,0.12595298849162329,1.8697543616545909
32275d7231509117,760,pedestrian,1.0,0.029423158481072863,0.07871400074808187,0.14648712254465612,0.26743748421159874,1.869798249577422
34d35237ee3c1986,3563,pedestrian,1.0,0.13751847341271695,0.2288414361811709,0.05890952270505425,0.10529348980997694,1.8674261150397258
3505972c220e6b3a,1940,pedestrian,1.0,0.14405591827896955,0.27920479761032985,0.08700670413284865,0.1680791928001895,1.8698860209031154
371a64917512b4c9,7281,pedestrian,1.0,0.05605797121482074,0.1355452926328164,0.0924672612279411,0.17017432947105451,1.869754361654591
371a64917512b4c9,7282,pedestrian,1.0,0.055869816430663286,0.1391709592734755,0.039892439874538006,0.028227013599952666,1.869754361654591
371a64917512b4c9,7284,pedestrian,1.0,0.03979506664735688,0.051187025567487374,0.11685596304388739,0.206075090410857,1.869754361654591
371a64917512b4c9,7285,pedestrian,1.0,0.05651725998095854,0.1281026203821407,0.09679049167901696,0.19961953046406752,1.869754361654591
371a64917512b4c9,7286,pedestrian,1.0,0.014892673957189925,0.02745207418912476,0.1309503534403397,0.2081176773349728,1.869754361654591
371a64917512b4c9,7287,pedestrian,1.0,0.047465875746428625,0.09433351545679942,0.13254906031242433,0.22574382364450254,1.869754361654591
371a64917512b4c9,7288,pedestrian,1.0,0.029897390869438094,0.0561820468801576,0.13637224522436736,0.22074669190067256,1.869754361654591
371a64917512b4c9,7289,pedestrian,1.0,0.09462214426980944,0.19493227971472132,0.03720124390518154,0.056509267993225094,1.869754361654591
371a64917512b4c9,7290,pedestrian,1.0,0.026037923008438102,0.05289715769028053,0.11089845782658034,0.1883329807604223,1.869754361654591
371a64917512b4c9,7291,pedestrian,1.0,0.03167062879797754,0.06787055437205156,0.09435400832690347,0.1344985887879665,1.869754361654591
371a64917512b4c9,7292,pedestrian,1.0,0.038826976419213725,0.0546941185239495,0.08283545618443662,0.1491592253734951,1.869754361654591
371a64917512b4c9,7293,pedestrian,1.0,0.003924035665622156,0.004809262036659585,0.005693794953965743,0.007963906300651831,1.869754361654591
371a64917512b4c9,7294,pedestrian,1.0,0.06714553223067629,0.14976023152475826,0.10526973550290916,0.19402635302296395,1.869754361654591
371a64917512b4c9,7295,pedestrian,1.0,0.03218508801988503,0.05659440503337948,0.09602470787753796,0.14609602289377482,1.869754361654591
371a64917512b4c9,7296,pedestrian,1.0,0.01612258994156698,0.01487787308285546,0.12018420011692281,0.20604347150462005,1.869754361654591
371a64917512b4c9,7298,pedestrian,1.0,0.1301034940916313,0.2569501445074189,0.22554872910392385,0.3876055099347264,1.869754361654591
371a64917512b4c9,7299,pedestrian,1.0,0.02326778617728491,0.039423160787384955,0.18255358754435907,0.2881329340926059,1.869754361654591
371a64917512b4c9,7300,pedestrian,1.0,0.04634088819272182,0.07676265613954475,0.07777958885599522,0.1279272147327375,1.869754361654591
371a64917512b4c9,7301,pedestrian,1.0,0.009784387844743229,0.0029566792249730613,0.09523815712279703,0.16197335164509183,1.869754361654591
371a64917512b4c9,7302,pedestrian,1.0,0.009583198834246465,0.02417695508213301,0.14822579377490697,0.25441341480718693,1.869754361654591
371a64917512b4c9,7304,pedestrian,1.0,0.01483984874664528,0.00860880728622895,0.11581764138752479,0.1965933303708531,1.869754361654591
371a64917512b4c9,7305,pedestrian,1.0,0.042826405593413865,0.06733328097237656,0.04046177325265079,0.06386506592933348,1.869754361654591
371a64917512b4c9,7309,pedestrian,1.0,0.05418830824004588,0.1400317261489134,0.1677746262565064,0.3265114672948502,1.869754361654591
371a64917512b4c9,7311,pedestrian,1.0,0.016536774528882806,0.030201173068094594,0.11141574965794435,0.19286177241775757,1.869754361654591
