scenario_id,agent_id,object_type,predictor,ade,fde,beam_timing_error_s,proactive_gain_s,final_uncertainty
140117c81b4ef9fb,3052,pedestrian,CV,0.3668093182947077,0.5928589167158683,,0.0,2.0
140117c81b4ef9fb,4621,cyclist,KF,0.03712566233273045,0.06543772106502954,,0.0,9.01037676685647
140117c81b4ef9fb,4622,cyclist,CV,0.9179870938423018,2.6641087169949267,,0.0,2.0
140117c81b4ef9fb,4623,cyclist,KF,1.7460195574254715,3.0019000827848457,,0.0,9.01037676685647
16a8cd972084277a,4992,pedestrian,KF,3.653349984860494,7.065015433019391,,0.0,9.010376766856462
1870b2208fe4ade9,64,pedestrian,KF,0.4291340172625915,0.7995901825937005,,0.0,9.010376766856464
1870b2208fe4ade9,65,pedestrian,KF,0.13119607552810725,0.2518419557597187,,0.0,9.010376766856464
1870b2208fe4ade9,66,pedestrian,KF,0.2551029913815724,0.4011748235583304,,0.0,9.010376766856464
1870b2208fe4ade9,71,pedestrian,CV,1.4192691249159852,2.4122945056433323,,0.0,2.0
1870b2208fe4ade9,141,cyclist,CV,3.7878349040110315,7.221708805803451,,0.0,2.0
1870b2208fe4ade9,142,cyclist,KF,2.7500648723480676,5.8156832095403574,,0.0,9.010376766856464
1e41e4f90a5cae0a,424,pedestrian,KF,0.694653876432337,1.3181097282704584,0.0,0.0,9.011864559597544
1e41e4f90a5cae0a,566,cyclist,CV,1.2899898812834758,3.775855233584244,0.0,0.0,2.0
27384099b57a800b,5490,pedestrian,CV,0.11071394498899391,0.16876619737564202,,0.0,2.0
27384099b57a800b,5491,pedestrian,KF,0.1495444502467944,0.266896925966136,,0.0,9.010376766856469
27384099b57a800b,5492,pedestrian,KF,1.5999319256071827,3.058764023223245,,0.0,9.010376766856469
27384099b57a800b,5493,pedestrian,CV,0.25030619185450376,0.8023203077187486,,0.0,2.0
2d84b1ab55ab81d3,1529,pedestrian,KF,0.0339827293939526,0.046678541452935006,,0.0,9.01186455959754
2d84b1ab55ab81d3,1551,pedestrian,KF,2.216774062926948,4.213384824346077,,0.0,9.01186455959754
2d84b1ab55ab81d3,1621,cyclist,CV,4.820442648327536,11.740447676963537,,0.0,2.0
2db20518212cdfeb,5560,pedestrian,CV,2.707049391067143,6.451628840328421,,0.0,2.0
32275d7231509117,760,pedestrian,CV,0.23175638650604477,0.5353033773090352,,0.0,2.0
371a64917512b4c9,7281,pedestrian,CV,0.43550420401397205,0.707756490764973,,0.0,2.0
371a64917512b4c9,7282,pedestrian,CV,0.47517394135917784,0.7385252481578991,,0.0,2.0
371a64917512b4c9,7284,pedestrian,CV,0.2629958639720383,0.4401867211010872,,0.0,2.0
