scenario_id,agent_id,object_type,raw_jitter,smooth_jitter,jitter_reduction_percent,raw_angle_std_deg,smooth_angle_std_deg
140117c81b4ef9fb,3052,pedestrian,0.0001406496148396741,0.000140553657953717,0.06822406592898735,0.10265959401095673,0.11896295825849174
140117c81b4ef9fb,4621,cyclist,0.000998983202276742,0.0010780887342161805,-7.918604813289389,0.8281030708840669,0.9523131595042772
140117c81b4ef9fb,4622,cyclist,0.00012358038211544907,0.00012334054943693217,0.1940701868787289,0.09001353916750124,0.10432190636319269
140117c81b4ef9fb,4623,cyclist,6.821836074166754e-07,6.852509966748244e-07,-0.4496427684278124,0.0005022055654358421,0.0005816537768397163
16a8cd972084277a,4992,pedestrian,0.00015765767256532116,0.00015349205751512328,2.642189867716059,0.11023219158601076,0.12807842555037371
1870b2208fe4ade9,64,pedestrian,0.0012353589925455921,0.0014944595347638233,-20.973704306334973,1.2425044293456886,1.4129988984743842
1870b2208fe4ade9,65,pedestrian,0.0004499292865049398,0.000472222877659334,-4.95490998764968,0.35624188200451634,0.4107799406404865
1870b2208fe4ade9,66,pedestrian,0.0012291696098153792,0.0009050144566734986,26.37188151686963,0.5409820500755086,0.6480989678338847
1870b2208fe4ade9,71,pedestrian,0.00032777675318188313,0.00032063825399948344,2.1778540159126365,0.2309610355969276,0.26822476881183294
1870b2208fe4ade9,141,cyclist,0.00022911660979325178,0.00022400820803142096,2.2296077820113034,0.16130852214297564,0.18734346326223966
1870b2208fe4ade9,142,cyclist,1.8616980536521054e-05,1.8668630513065666e-05,-0.27743476684250756,0.013666474048029805,0.015831252717401913
1e41e4f90a5cae0a,424,pedestrian,0.00017429269485329192,0.0001687954329561514,3.154040335292159,0.12077219356908643,0.14040348209992853
1e41e4f90a5cae0a,566,cyclist,0.00035705304259184387,0.00036131728161693745,-1.194287267275338,0.2660598719637158,0.30792343236976316
27384099b57a800b,5490,pedestrian,4.294519417360476e-06,4.3024188618545624e-06,-0.18394245610238422,0.0031476897849625827,0.0036466316734530984
27384099b57a800b,5491,pedestrian,0.0014665757159988857,0.0018375017326801224,-25.291978629865604,1.563920812900023,1.7728263498355288
27384099b57a800b,5492,pedestrian,0.0006455052765611313,0.0010286055627685186,-59.34890079416826,1.0609729359927629,1.1731686052434533
27384099b57a800b,5493,pedestrian,8.08741824214465e-05,8.101563345171314e-05,-0.17490257834016681,0.05926798300642452,0.06866325910342366
2d84b1ab55ab81d3,1529,pedestrian,0.003713830105638829,0.004826525882344433,-29.960869104274902,4.122508386854905,4.669845835862942
2d84b1ab55ab81d3,1551,pedestrian,0.0008229074310674278,0.0010827712741619778,-31.578745468061896,0.9549759953895564,1.0772858503280076
2d84b1ab55ab81d3,1621,cyclist,8.659009085889125e-05,8.720701922818818e-05,-0.712469941049364,0.06402127975883648,0.07412972917244753
2db20518212cdfeb,5560,pedestrian,0.00018621673381090885,0.0001859024650175911,0.1687650657845104,0.1356913428234267,0.15725682925075854
32275d7231509117,760,pedestrian,0.00011486781553779579,0.00011520065939128799,-0.2897624995599175,0.08433917641335688,0.09769747344986977
3a0389c235a0eaa1,1156,pedestrian,0.00012612169471053038,0.00012672009450699794,-0.47446222304654717,0.09288421741848396,0.1075758544666203
3a79684106fe2fdf,1514,pedestrian,6.408804594762785e-05,6.526709175680879e-05,-1.839728129867527,0.048266996266900696,0.05582483936585454
3a79684106fe2fdf,1515,pedestrian,0.00015198422566943038,0.0001674813167937117,-10.196512865741674,0.13064142977714338,0.14990262156979337
3b523aceb232aa6f,6911,pedestrian,0.00014630182523610812,0.00014722412199240863,-0.6304068693689019,0.10802263173107303,0.1250890940070527
3b523aceb232aa6f,6942,pedestrian,0.0002516215463955085,0.00025038940084628705,0.489682051029404,0.18237365103656578,0.21142827636700984
3b523aceb232aa6f,6994,cyclist,6.33441233085108e-05,6.545722578419345e-05,-3.3359092608970227,0.04887835022688586,0.05644846519182116
45856054906e76f1,243,cyclist,3.986328594194788e-05,3.9927207862078264e-05,-0.1603528625900778,0.02920658433121168,0.03383695068065587
4f4bbc55ef30c3ea,1467,pedestrian,7.201295689823075,1.5933711299903348,77.8738271747111,114.97190675465976,119.16387643852977
4f4bbc55ef30c3ea,1468,pedestrian,0.00013904094462461103,0.0001405040681104097,-1.0522968538144521,0.1033756093835965,0.11965700336589671
4f7aa8ac2ff60093,3478,pedestrian,0.00010662022606933164,0.00010665900046856969,-0.03636683269911833,0.07795687797937607,0.09032751250514165
4f7aa8ac2ff60093,3482,pedestrian,0.0004580723897512584,0.0004528102173316384,1.1487643737876125,0.328351571052407,0.38092591343560145
4f7aa8ac2ff60093,3491,pedestrian,2.0683567923569512e-05,2.0801440505380243e-05,-0.5698851486663061,0.015256870417292607,0.01766833822510471
4f7aa8ac2ff60093,3527,pedestrian,0.00011515988579244407,0.00011266580178187269,2.1657576276747497,0.08116721924465178,0.09426083080565578
4f7aa8ac2ff60093,3534,pedestrian,9.397874072838874e-05,9.053051320737638e-05,3.6691569755953712,0.06452857859698058,0.07506026479342139
4f7aa8ac2ff60093,3541,pedestrian,0.00026880403191434257,0.00027021205455938,-0.5238100913181648,0.19811652827289497,0.22944287893071258
4f7aa8ac2ff60093,3545,pedestrian,0.0006621891133664448,0.0006867888038221892,-3.7149040899636936,0.5138899645108662,0.5932909144380814
4f7aa8ac2ff60093,3548,pedestrian,0.00010718706522084176,0.00010985490714709556,-2.4889588316996374,0.08158292350880257,0.09429683066945761
4f7aa8ac2ff60093,3557,pedestrian,0.0005885387256694285,0.0005881741999969639,0.06193741491692133,0.4295037029376666,0.4977273676118154
4f7aa8ac2ff60093,3569,pedestrian,0.0008015353020825521,0.0008289216332673721,-3.416734249092292,0.6189382310549911,0.7147953010835711
4f7aa8ac2ff60093,3579,pedestrian,1.6730787152410277e-05,1.675659063032242e-05,-0.15422751886737548,0.012256898526780599,0.014200174419901531
4f7aa8ac2ff60093,3590,pedestrian,0.00020174420492274691,0.00020919905884603907,-3.6952010225755005,0.15657047031008903,0.18075691339135216
5d6f6adb8f60a8e,4292,pedestrian,5.924484422763499e-05,5.963300964324958e-05,-0.6551885158532189,0.04376218888573828,0.05067479645648741
5d6f6adb8f60a8e,4294,pedestrian,0.00016485482488477033,0.00016755233877297827,-1.6362965961678329,0.12374415373847639,0.1431499222623761
66d2f8859f26c401,1629,pedestrian,0.017816441314475354,0.01615221859153312,9.340937921144219,9.493136910467774,11.336793043002118
66d2f8859f26c401,1630,pedestrian,0.004078933540373138,0.0034866100941152124,14.52152726675071,2.271646831491238,2.6796203255146547
66d2f8859f26c401,1631,pedestrian,0.00327706382108115,0.005178456905228934,-58.021240597032,5.134265458213186,5.705069319165778
66d2f8859f26c401,1632,pedestrian,0.0009375229849251099,0.0013374643775528662,-42.659369323057604,1.2592391525530595,1.4084068867126087
66d2f8859f26c401,1634,pedestrian,8.288128113152382e-05,8.248509005007065e-05,0.4780223906342033,0.060086124022336845,0.06965742237176087
66d2f8859f26c401,1665,pedestrian,7.201438853052699,1.5949200860099484,77.85275805912231,175.0136317100231,160.81429828035522
66d2f8859f26c401,1679,pedestrian,0.00010922338928949671,0.00010654822828964683,2.4492565349344417,0.07661694729521874,0.0890028742737653
6ea1530b289aec91,1276,pedestrian,1.3677183129878755e-05,1.3665243886258338e-05,0.08729314733188585,0.00997993114248581,0.011565043703996355
6ea1530b289aec91,1277,pedestrian,0.00027594300963022176,0.0002726249174951612,1.2024555865745603,0.1976426350038728,0.22929790988898227
722e894fd915b4eb,1025,pedestrian,0.0008917703939760458,0.001002784217698931,-12.44870030142167,0.7925495588244295,0.9076750939590976
734c57bbbf191450,2186,pedestrian,2.1630836034738364e-05,2.1488245514085236e-05,0.6592002288960663,0.015634611585663528,0.018128445986831294
750f17fb3ac9783d,2355,pedestrian,4.62297289508129e-05,4.6236840811495484e-05,-0.015383738654731414,0.033790049444402566,0.03915284053549577
750f17fb3ac9783d,2385,cyclist,0.00020316272968322834,0.00020041492431033703,1.3525144977012715,0.14515416616737153,0.16842814893005245
7a877066976dde0,1826,pedestrian,0.0003872988199560723,0.00034987442090887553,9.662926174534034,0.2384216099727918,0.2792616634643283
7fcb65089a2bb672,2629,pedestrian,0.00023997332174801044,0.0002400492976532931,-0.03166014652346789,0.17543966640626427,0.20328139781061755
7fcb65089a2bb672,2630,pedestrian,0.0002286164086611464,0.00022658376249506062,0.8891077320257288,0.1646052052410559,0.19090700604594701
