scenario_id,agent_id,object_type,predictor,ade,fde,angular_error_deg,uncertainty,timing_penalty_s,iape
140117c81b4ef9fb,3052,pedestrian,CV,0.3668093182947077,0.5928589167158683,3.7915451609188215,2.0,0.0,1.452816034698583
140117c81b4ef9fb,4621,cyclist,CV,0.029014369923326528,0.053269639638859057,48.60188899168169,2.0,998.6,801.965743639327
140117c81b4ef9fb,4622,cyclist,CV,0.9179870938423018,2.6641087169949267,1.1668090586418634,2.0,0.0,2.9083819052718582
140117c81b4ef9fb,4623,cyclist,CV,0.8124046286734058,2.193047540386901,1.4589987195596956,2.0,0.0,2.5818783348448413
16a8cd972084277a,4992,pedestrian,CV,3.1689371406381643,6.1780580138668455,3.2185630619172128,2.0,0.0,7.018894300667447
1870b2208fe4ade9,64,pedestrian,CV,0.5056067978002998,0.9690684344882828,32.22280707298573,2.0,0.0,3.201281368693728
1870b2208fe4ade9,65,pedestrian,CV,0.14710444380841342,0.2846980526225353,7.727798974962841,2.0,0.0,1.2758434188678232
1870b2208fe4ade9,66,pedestrian,CV,0.13524816164056827,0.19058236344649102,79.63937904433608,2.0,0.0,4.812508295580618
1870b2208fe4ade9,71,pedestrian,CV,1.4192691249159852,2.4122945056433323,16.074524042010903,2.0,0.0,4.029142579838196
1870b2208fe4ade9,141,cyclist,CV,3.7878349040110315,7.221708805803451,8.599614578016633,2.0,0.0,8.428670035813589
1870b2208fe4ade9,142,cyclist,CV,0.7888481901967849,2.548083558520439,1.2829558171791808,2.0,0.0,2.7270377603159632
1e41e4f90a5cae0a,424,pedestrian,CV,0.202591546586969,0.4145508531563631,0.6211147371907575,2.0,0.0,1.0409227100246885
1e41e4f90a5cae0a,566,cyclist,CV,1.2899898812834758,3.775855233584244,7.719911864765254,2.0,0.0,4.1639130913138604
27384099b57a800b,5490,pedestrian,CV,0.11071394498899391,0.16876619737564202,0.24019898255803512,2.0,0.0,0.8071069928047166
27384099b57a800b,5491,pedestrian,CV,0.14372759673720875,0.27459638043834483,23.21555519722973,2.0,998.8,801.0818035468178
27384099b57a800b,5492,pedestrian,CV,2.78643627354545,5.485647406264333,0.8005023078607352,2.0,0.0,6.169285092070653
27384099b57a800b,5493,pedestrian,CV,0.25030619185450376,0.8023203077187486,1.2633383796146995,2.0,0.0,1.314633264694613
2d84b1ab55ab81d3,1529,pedestrian,CV,0.03394500206580633,0.05557334324875727,18.317684857067835,2.0,997.8,799.8176159165436
2d84b1ab55ab81d3,1551,pedestrian,CV,2.9292489324122113,5.702931109008598,11.47504662018519,2.0,0.0,6.95446681792577
2d84b1ab55ab81d3,1621,cyclist,CV,4.820442648327536,11.740447676963537,166.7817620720297,2.0,0.0,19.62975459041079
2db20518212cdfeb,5560,pedestrian,CV,2.707049391067143,6.451628840328421,24.082234138531092,2.0,0.0,7.736975518157908
32275d7231509117,760,pedestrian,CV,0.23175638650604477,0.5353033773090352,0.541232778024643,2.0,0.0,1.1264697140617945
3a0389c235a0eaa1,1156,pedestrian,CV,0.3678022301579605,1.0236588849029202,4.575630350168541,2.0,0.0,1.7084131901178479
3a79684106fe2fdf,1514,pedestrian,CV,0.2746278738605522,0.6375007850470888,0.3355179967959805,2.0,0.0,1.2101541662238957
3a79684106fe2fdf,1515,pedestrian,CV,3.286800170284828,7.283398613164018,17.590220234796902,2.0,0.0,8.408010488606683
3b523aceb232aa6f,6911,pedestrian,CV,0.2705137922940464,0.3041525131997664,3.298480794818988,2.0,0.0,1.187514088634879
3b523aceb232aa6f,6942,pedestrian,CV,0.28943916863764946,0.7333057577156934,2.1961385808291634,2.0,0.0,1.3658989765369542
3b523aceb232aa6f,6994,cyclist,CV,0.7827237671275874,2.6647022888644276,1.9558407884696114,2.0,0.0,2.812866950983282
45856054906e76f1,243,cyclist,CV,0.3107637699111098,0.5896396856981847,0.2503612704992969,2.0,0.0,1.2181016762851669
4f4bbc55ef30c3ea,1467,pedestrian,CV,0.32264693515603804,0.5680192891670119,211.05848741665886,2.0,994.1,807.0395809505726
4f4bbc55ef30c3ea,1468,pedestrian,CV,0.14456425811669715,0.29081098757841595,0.8619874415270697,2.0,0.0,0.9330691239822586
4f7aa8ac2ff60093,3478,pedestrian,CV,0.31398011224033,0.5980816090928573,3.7229094907157063,2.0,0.0,1.3991663913225438
4f7aa8ac2ff60093,3482,pedestrian,CV,0.5199139303401797,1.2004309358786862,1.6607690533211446,2.0,0.0,1.80316785094558
4f7aa8ac2ff60093,3491,pedestrian,CV,0.6305374957559728,1.4651856871017555,2.9159883506859865,2.0,0.0,2.10892975684115
4f7aa8ac2ff60093,3527,pedestrian,CV,0.7048162626331279,1.441775598908559,5.4865884455461345,2.0,0.0,2.300033484364714
4f7aa8ac2ff60093,3534,pedestrian,CV,1.5688164345509514,3.174088404899847,3.523169768885392,2.0,0.0,3.9320191254451444
4f7aa8ac2ff60093,3541,pedestrian,CV,0.7796061662201191,0.93993936643376,3.037576261547309,2.0,0.0,2.0014546625143645
4f7aa8ac2ff60093,3545,pedestrian,CV,0.5547404947283203,0.8009835411416275,21.2038126569438,2.0,0.0,2.615422898146324
4f7aa8ac2ff60093,3548,pedestrian,CV,0.3129150064503195,0.9091466425569203,2.476185872389669,2.0,0.0,1.491297621348263
4f7aa8ac2ff60093,3557,pedestrian,CV,0.3612236436145612,0.6924672375737777,2.4159927907861594,2.0,0.0,1.428256901940758
4f7aa8ac2ff60093,3569,pedestrian,CV,0.18225274926732815,0.38598718900019396,3.569914470291491,2.0,998.9,800.273742067282
4f7aa8ac2ff60093,3579,pedestrian,CV,0.22236344807782235,0.5644172885702723,0.8652016410772574,2.0,0.0,1.1478321744168214
4f7aa8ac2ff60093,3590,pedestrian,CV,0.356105995771836,0.9276647469694581,3.7424056823847383,2.0,0.0,1.6070586533758018
5d6f6adb8f60a8e,4292,pedestrian,CV,0.13930055500612742,0.32922781597260903,1.6604565789870203,2.0,0.0,0.9869372919417829
5d6f6adb8f60a8e,4294,pedestrian,CV,0.14116069159039055,0.21974225282263518,1.2956812632614048,2.0,0.0,0.9158158811647783
66d2f8859f26c401,1629,pedestrian,CV,0.06382418322423593,0.12296040765928001,99.46634781209735,2.0,0.0,5.698621777658744
66d2f8859f26c401,1630,pedestrian,CV,0.02892592108710387,0.04422646702848738,60.567863394850974,2.0,997.8,801.9194323243439
66d2f8859f26c401,1631,pedestrian,CV,0.03527229735957705,0.03636990846495691,70.49632234056348,2.0,0.0,4.178273368620229
66d2f8859f26c401,1632,pedestrian,CV,0.03553492265327732,0.09285503086431103,13.804587686136113,2.0,0.0,1.3721918223922385
66d2f8859f26c401,1634,pedestrian,CV,0.6671277293346516,2.086440930137354,1.7385442249610668,2.0,0.0,2.397275405651382
66d2f8859f26c401,1665,pedestrian,CV,0.06760540814443788,0.1269205527266836,72.30754362936923,2.0,0.0,4.3464428659762415
66d2f8859f26c401,1679,pedestrian,CV,2.0931278516535583,4.934097284469119,27.14934046216649,2.0,0.0,6.517643516996443
6ea1530b289aec91,1276,pedestrian,CV,0.1245917443235478,0.2873578094367841,0.96090116548592,2.0,0.0,0.9163157073162358
6ea1530b289aec91,1277,pedestrian,CV,0.4994188382258365,1.1643381932396413,3.104183260931012,2.0,0.0,1.836797097892208
722e894fd915b4eb,1025,pedestrian,CV,0.28216905196034653,0.5799967949142428,54.59301665541881,2.0,0.0,3.9018182821884086
734c57bbbf191450,2186,pedestrian,CV,0.19748405559009286,0.4745279626711796,1.4298309711465476,2.0,0.0,1.10623958548301
750f17fb3ac9783d,2355,pedestrian,CV,0.24818683427974236,0.519573564020125,1.4026593067267816,2.0,0.0,1.1781065816261438
750f17fb3ac9783d,2385,cyclist,CV,3.3359252513233106,7.689541371959292,9.11019166769541,2.0,0.0,8.236205520687728
7a877066976dde0,1826,pedestrian,CV,1.2918936643065608,3.4927862817389776,6.729887988057089,2.0,0.0,3.974781204578904
7fcb65089a2bb672,2629,pedestrian,CV,2.8866989459705246,7.769118810423818,13.366963647310245,2.0,0.0,8.039606533547946
7fcb65089a2bb672,2630,pedestrian,CV,0.31163244533744394,1.0939750674972775,3.229140580008472,2.0,0.0,1.6200770080865063
7fcb65089a2bb672,2631,pedestrian,CV,0.5503079575450516,0.6987635046478774,2.4508914906258825,2.0,0.0,1.6222342844002844
7fcb65089a2bb672,2633,pedestrian,CV,0.41208952669507054,0.8098220664988318,22.708980265942742,2.0,0.0,2.5524495732416237
7fcb65089a2bb672,2636,pedestrian,CV,1.8203902774105265,4.152499997938259,32.812032581244715,2.0,0.0,6.137241905441892
8e8052b4f96b2199,310,pedestrian,CV,2.8448536367120516,6.981530763046987,1.1038059846208612,2.0,0.0,6.990809317466588
914f16ffef6529c5,108,pedestrian,CV,0.07005221425309333,0.14741316400046525,63.98414898310035,2.0,0.0,3.9429662454083436
914f16ffef6529c5,116,pedestrian,CV,0.10561117118079849,0.26881871438949806,15.299574737713906,2.0,0.0,1.6049992652612426
91ae85924f2177b3,216,pedestrian,CV,2.3586741050233773,6.400934001548377,23.5055270762717,2.0,0.0,7.33441745961115
9646b687f1411768,3338,pedestrian,CV,1.0267402319331547,2.2585442277531707,10.997595057210765,2.0,0.0,3.3058920986702782
