scenario_id,agent_id,object_type,best_ade,best_fde,heading_change_deg,lateral_motion_m,displacement_m,crossing,uncertainty,is_cyclist
140117c81b4ef9fb,3052,pedestrian,0.3668093182947077,0.5928589167158683,26.40213047338159,4.748779296875,7.750259983408855,False,9.01037676685647,False
140117c81b4ef9fb,4621,cyclist,0.029014369923326528,0.053269639638859057,1545.231402473183,0.02587890625,0.004957016724669666,False,9.01037676685647,True
140117c81b4ef9fb,4622,cyclist,0.521078694442588,0.8736246210546099,9.63502614319843,9.501708984375,17.582471144096704,False,9.01037676685647,True
140117c81b4ef9fb,4623,cyclist,0.8124046286734058,2.193047540386901,8.021774155262904,30.29345703125,33.18460450140213,False,9.01037676685647,True
16a8cd972084277a,4992,pedestrian,3.1689371406381643,6.1780580138668455,22.655947036820667,13.446533203125,13.489685270545346,False,9.010376766856462,False
1870b2208fe4ade9,64,pedestrian,0.4291340172625915,0.7995901825937005,316.4943335912666,0.1455078125,0.09089485308928588,False,9.010376766856464,False
1870b2208fe4ade9,65,pedestrian,0.13119607552810725,0.2518419557597187,991.0777963463148,0.0462646484375,0.055444384314088865,False,9.010376766856464,False
1870b2208fe4ade9,66,pedestrian,0.13524816164056827,0.19058236344649102,1279.3270255476755,0.2293701171875,0.15788651798424,False,9.010376766856464,False
1870b2208fe4ade9,71,pedestrian,1.4192691249159852,2.4122945056433323,40.53576687157947,4.3770751953125,7.590244129514863,False,9.010376766856464,False
1870b2208fe4ade9,141,cyclist,3.7878349040110315,7.221708805803451,22.479200819598102,18.633056640625,23.578432986129382,False,9.010376766856464,True
1870b2208fe4ade9,142,cyclist,0.7888481901967849,2.548083558520439,11.77775343973461,22.370849609375,37.363669875098516,False,9.010376766856464,True
1e41e4f90a5cae0a,424,pedestrian,0.202591546586969,0.4145508531563631,31.84428564336567,0.521728515625,9.605849514085499,False,9.011864559597544,False
1e41e4f90a5cae0a,566,cyclist,1.2899898812834758,3.775855233584244,62.08836436020193,5.1181640625,13.69085757357433,False,9.007897175955742,True
27384099b57a800b,5490,pedestrian,0.11071394498899391,0.16876619737564202,14.631399378181781,7.54296875,9.320213989638928,False,9.010376766856469,False
27384099b57a800b,5491,pedestrian,0.14372759673720875,0.266896925966136,697.243749259776,0.061767578125,0.062080885392983544,False,9.010376766856469,False
27384099b57a800b,5492,pedestrian,1.5999319256071827,3.058764023223245,1075.5781770090484,0.6578369140625,1.1995126879678146,False,9.010376766856469,False
27384099b57a800b,5493,pedestrian,0.25030619185450376,0.8023203077187486,17.660269420892156,7.9365234375,10.147806231663271,False,9.010376766856469,False
2d84b1ab55ab81d3,1529,pedestrian,0.03394500206580633,0.046678541452935006,1070.2401707113802,0.04876708984375,0.05951153090684902,False,9.01186455959754,False
2d84b1ab55ab81d3,1551,pedestrian,2.216774062926948,4.213384824346077,613.8468616768649,1.14324951171875,1.142595728000936,False,9.01186455959754,False
2d84b1ab55ab81d3,1621,cyclist,4.820442648327536,11.740447676963537,43.821769466445154,5.106353759765625,23.553422870046397,True,9.01186455959754,True
2db20518212cdfeb,5560,pedestrian,2.5910346738352636,6.077095212741092,73.62125289995154,7.666015625,8.47857916350548,False,9.011864559597539,False
32275d7231509117,760,pedestrian,0.23175638650604477,0.5353033773090352,10.584752250904076,5.6103515625,8.099061156991905,False,9.010872694579716,False
371a64917512b4c9,7281,pedestrian,0.40206892888421947,0.707756490764973,26.986105877836152,0.8167724609375,5.059887532809666,False,9.010376766856469,False
371a64917512b4c9,7282,pedestrian,0.17577308629963845,0.27927254612024177,28.062512823735666,1.0352783203125,5.130323381311914,False,9.010376766856469,False
371a64917512b4c9,7284,pedestrian,0.2629958639720383,0.4401867211010872,28.99407316767004,4.660888671875,8.265722729406232,False,9.010376766856469,False
371a64917512b4c9,7285,pedestrian,0.5736961775034762,1.2485247805420028,22.566543694209305,6.2779541015625,6.295049962543512,False,9.010376766856469,False
371a64917512b4c9,7286,pedestrian,0.21377981035673713,0.6893475180486098,26.49665975932488,6.5765380859375,6.607761024794171,False,9.010376766856469,False
